City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Chokurdakh,70.6333,147.9167,-11.04,95,100,9.73,RU,overcast clouds,2022-01-09 06:49:19
60,San Patricio,28.017,-97.5169,70.9,92,100,2.57,US,overcast clouds,2022-01-09 06:49:20
61,Hofn,64.2539,-15.2082,36.01,91,67,17.2,IS,broken clouds,2022-01-09 06:49:20
62,San Cristobal,7.7669,-72.225,62.29,94,38,3.51,VE,scattered clouds,2022-01-09 06:49:20
63,Phan Thiet,10.9333,108.1,82.96,60,79,10.65,VN,broken clouds,2022-01-09 06:45:27
64,Gogrial,8.5332,28.1004,86.83,19,98,5.01,SS,overcast clouds,2022-01-09 06:49:21
65,Kizhinga,51.8462,109.9097,-1.89,84,7,0.76,RU,clear sky,2022-01-09 06:49:22
66,Pedernales,18.0384,-71.744,75.63,63,34,3.44,DO,scattered clouds,2022-01-09 06:49:22
67,Chuy,-33.6971,-53.4616,66.69,74,0,10.18,UY,clear sky,2022-01-09 06:49:23
68,Caraquet,47.7941,-64.9386,12.74,76,100,8.7,CA,overcast clouds,2022-01-09 06:49:23
69,Kavaratti,10.5669,72.642,79.52,68,7,6.53,IN,clear sky,2022-01-09 06:49:24
70,Bathsheba,13.2167,-59.5167,74.01,78,75,31.07,BB,broken clouds,2022-01-09 06:49:24
71,Saint-Philippe,-21.3585,55.7679,85.55,79,37,7.36,RE,light rain,2022-01-09 06:49:25
72,Garden City,42.3256,-83.331,35.11,94,100,1.01,US,light intensity drizzle,2022-01-09 06:49:25
73,Hobart,-42.8794,147.3294,72.1,64,75,11.5,AU,broken clouds,2022-01-09 06:47:43
74,Yellowknife,62.456,-114.3525,-22.72,77,0,6.91,CA,clear sky,2022-01-09 06:49:26
75,Kosh-Agach,50.0,88.6667,3.96,90,79,0.96,RU,broken clouds,2022-01-09 06:49:26
76,Naze,28.3667,129.4833,63.52,65,99,7.43,JP,overcast clouds,2022-01-09 06:49:27
77,Punta Arenas,-53.15,-70.9167,44.71,76,0,16.11,CL,clear sky,2022-01-09 06:49:27
78,Mar Del Plata,-38.0023,-57.5575,70.09,92,0,5.01,AR,clear sky,2022-01-09 06:46:15
79,Berlevag,70.8578,29.0864,24.8,78,100,24.14,NO,light snow,2022-01-09 06:49:28
80,Gloversville,43.0528,-74.3438,28.94,74,100,3.44,US,overcast clouds,2022-01-09 06:47:50
81,Kapaa,22.0752,-159.319,71.92,77,100,0.0,US,overcast clouds,2022-01-09 06:49:29
82,Biltine,14.5333,20.9167,76.39,16,10,6.29,TD,clear sky,2022-01-09 06:49:29
83,Avarua,-21.2078,-159.775,78.85,89,100,1.14,CK,overcast clouds,2022-01-09 06:49:29
84,Flinders,-34.5833,150.8552,77.2,76,100,4.88,AU,overcast clouds,2022-01-09 06:49:30
85,Ahipara,-35.1667,173.1667,70.18,72,100,1.68,NZ,overcast clouds,2022-01-09 06:49:30
86,Durban,-29.8579,31.0292,79.02,79,95,5.01,ZA,overcast clouds,2022-01-09 06:45:33
87,Itarema,-2.9248,-39.9167,76.19,84,85,8.84,BR,overcast clouds,2022-01-09 06:49:31
88,Qaanaaq,77.484,-69.3632,-6.11,75,36,5.19,GL,scattered clouds,2022-01-09 06:49:32
89,Boralday,43.3578,76.8594,30.06,100,100,4.47,KZ,fog,2022-01-09 06:49:32
90,Namatanai,-3.6667,152.4333,82.99,67,46,8.12,PG,scattered clouds,2022-01-09 06:49:33
91,Vostok,46.4856,135.8833,-4.18,99,99,2.57,RU,overcast clouds,2022-01-09 06:49:33
92,Los Llanos De Aridane,28.6585,-17.9182,68.13,29,0,8.99,ES,clear sky,2022-01-09 06:49:33
93,Cidreira,-30.1811,-50.2056,71.29,68,78,15.57,BR,broken clouds,2022-01-09 06:50:34
94,Cabo San Lucas,22.8909,-109.9124,68.5,80,38,3.0,MX,scattered clouds,2022-01-09 06:49:04
95,Shorapani,42.0898,43.0866,51.39,62,21,11.68,GE,few clouds,2022-01-09 06:50:35
96,New Norfolk,-42.7826,147.0587,71.1,67,100,5.01,AU,overcast clouds,2022-01-09 06:50:35
97,Nikolskoye,59.7035,30.7861,21.09,95,100,6.44,RU,snow,2022-01-09 06:50:35
98,Parksville,49.3163,-124.3195,40.64,99,100,26.46,CA,overcast clouds,2022-01-09 06:50:36
99,Souillac,-20.5167,57.5167,84.58,74,40,10.36,MU,light rain,2022-01-09 06:50:36
100,Majene,-3.5403,118.9707,86.86,63,90,11.18,ID,overcast clouds,2022-01-09 06:50:37
101,Shawnee,39.05,-95.7669,37.18,78,0,5.01,US,clear sky,2022-01-09 06:50:37
102,Ratnagiri,16.9833,73.3,78.57,69,100,9.55,IN,overcast clouds,2022-01-09 06:50:37
103,Faanui,-16.4833,-151.75,81.18,75,11,5.75,PF,few clouds,2022-01-09 06:50:38
104,Upernavik,72.7868,-56.1549,9.57,98,100,6.4,GL,overcast clouds,2022-01-09 06:50:39
105,Moissala,8.3404,17.7663,83.44,19,7,6.85,TD,clear sky,2022-01-09 06:50:39
106,Belyy Yar,53.6039,91.3903,8.49,72,50,0.0,RU,mist,2022-01-09 06:50:39
107,Qui Nhon,13.7667,109.2333,75.74,85,92,10.8,VN,overcast clouds,2022-01-09 06:50:40
108,Vila Franca Do Campo,37.7167,-25.4333,59.2,71,97,6.22,PT,overcast clouds,2022-01-09 06:50:40
109,Carnarvon,-24.8667,113.6333,82.47,47,0,20.71,AU,clear sky,2022-01-09 06:50:41
110,Tiksi,71.6872,128.8694,-16.56,95,100,9.93,RU,overcast clouds,2022-01-09 06:50:41
111,Dawei,14.0833,98.2,89.62,42,5,10.33,MM,clear sky,2022-01-09 06:50:42
112,Gulu,2.7746,32.299,83.57,30,100,7.9,UG,overcast clouds,2022-01-09 06:50:42
113,Komsomolskiy,40.4272,71.7189,40.42,75,75,0.0,UZ,mist,2022-01-09 06:50:43
114,Hithadhoo,-0.6,73.0833,82.06,72,12,4.63,MV,few clouds,2022-01-09 06:50:43
115,Vaini,-21.2,-175.2,77.16,100,100,3.44,TO,light rain,2022-01-09 06:50:19
